order_date,region,segment,shipping_mode,category,product_name,quantity,discount,sales,profit,anomaly,sales_per_quantity
2025-10-13,North,Corporate,First Class,Office Supplies,Printer,2,0.2,1768.75,451.39,0,884.375
2023-12-21,South,Consumer,Standard Class,Electronics,Smartphone,4,0.25,17996.09,4139.63,0,4499.0225
2025-05-02,South,Home Office,Same Day,Furniture,Table,8,0.1,17539.23,2570.6,0,2192.40375
2023-07-11,South,Consumer,Same Day,Electronics,Monitor,1,0.14,4296.28,1225.06,0,4296.28
2024-10-16,East,Corporate,Same Day,Electronics,Monitor,8,0.22,56743.16,14404.7,0,7092.895
2025-07-13,East,Home Office,Same Day,Furniture,Desk,4,0.07,7867.16,1053.78,0,1966.79
2024-06-15,East,Home Office,Standard Class,Furniture,Sofa,3,0.04,5266.5,995.09,0,1755.5
2023-09-18,West,Corporate,First Class,Electronics,Laptop,8,0.1,63178.58,9933.58,0,7897.3225
2025-07-22,West,Corporate,Standard Class,Office Supplies,Notebook,6,0.07,3665.39,697.15,0,610.8983333333333
2024-06-08,West,Consumer,First Class,Furniture,Desk,7,0.12,18535.08,3521.56,0,2647.8685714285716
2025-07-18,West,Consumer,Standard Class,Furniture,Desk,7,0.15,16164.38,3868.78,0,2309.197142857143
2024-10-19,West,Consumer,Standard Class,Furniture,Desk,5,0.09,18037.66,2851.73,0,3607.532
2024-05-28,West,Corporate,Standard Class,Furniture,Sofa,8,0.0,31056.25,6742.17,0,3882.03125
2024-09-14,North,Home Office,Standard Class,Furniture,Desk,1,0.24,1720.8,268.25,0,1720.8
2024-07-17,South,Corporate,Standard Class,Electronics,Smartphone,4,0.12,19230.5,3194.64,0,4807.625
2025-06-30,South,Corporate,Standard Class,Office Supplies,Notebook,1,0.23,100.0,22.36,0,100.0
2025-04-17,South,Consumer,Second Class,Furniture,Table,2,0.17,4383.38,763.96,0,2191.69
2023-05-30,East,Home Office,Same Day,Electronics,Laptop,6,0.02,85752.12,6480.75,1,14292.019999999999
2023-10-19,West,Corporate,Same Day,Furniture,Chair,3,0.11,16222.68,4089.46,0,5407.56
2024-04-21,West,Corporate,First Class,Furniture,Table,6,0.21,21005.38,5661.61,0,3500.896666666667
2024-03-17,West,Home Office,Same Day,Furniture,Desk,6,0.01,18284.89,4994.91,0,3047.4816666666666
2023-11-29,East,Corporate,First Class,Electronics,Tablet,5,0.14,36432.14,7759.79,0,7286.428
2024-06-12,West,Home Office,Second Class,Electronics,Monitor,8,0.16,32495.46,6770.36,0,4061.9325
2024-03-29,South,Corporate,Second Class,Electronics,Tablet,5,0.17,27368.97,5102.22,0,5473.794
2023-10-26,East,Corporate,Same Day,Furniture,Table,5,0.08,20979.05,3388.05,0,4195.8099999999995
2024-08-23,South,Consumer,Second Class,Furniture,Chair,8,0.07,19022.89,4301.56,0,2377.86125
2024-03-18,North,Consumer,First Class,Office Supplies,Pen,4,0.09,1456.32,253.99,0,364.08
2024-06-24,North,Consumer,First Class,Electronics,Tablet,3,0.16,14217.45,3632.6,0,4739.150000000001
2024-11-19,West,Corporate,Same Day,Electronics,Tablet,6,0.05,69383.71,8967.69,0,11563.951666666668
2026-03-20,North,Corporate,Same Day,Furniture,Chair,2,0.14,7289.1,1775.34,0,3644.55
2025-10-20,North,Consumer,Standard Class,Office Supplies,Pen,7,0.15,4281.78,1123.25,0,611.6828571428571
2023-12-07,West,Corporate,First Class,Office Supplies,Storage Box,7,0.08,6717.51,1557.02,0,959.6442857142857
2025-11-02,South,Home Office,Second Class,Office Supplies,Notebook,5,0.17,2221.24,329.34,0,444.24799999999993
2024-03-13,North,Corporate,Same Day,Electronics,Smartphone,8,0.07,63942.33,10337.28,0,7992.79125
2023-07-05,North,Home Office,Second Class,Office Supplies,Storage Box,5,0.2,2210.52,513.97,0,442.104
2024-10-10,North,Home Office,Second Class,Electronics,Monitor,3,0.23,14585.5,3920.49,0,4861.833333333333
2024-01-24,East,Corporate,Standard Class,Electronics,Tablet,8,0.17,38601.45,9494.11,0,4825.18125
2024-06-30,West,Consumer,Standard Class,Office Supplies,Storage Box,7,0.18,2949.07,674.36,0,421.2957142857143
2026-02-08,East,Home Office,Standard Class,Electronics,Laptop,3,0.12,10372.62,2461.13,0,3457.5400000000004
2026-05-12,West,Consumer,Same Day,Electronics,Monitor,6,0.1,38978.63,6930.03,0,6496.438333333333
2025-07-06,West,Home Office,Same Day,Electronics,Tablet,5,0.17,22699.27,4360.11,0,4539.854
2025-08-17,North,Corporate,First Class,Electronics,Monitor,6,0.03,46760.54,12113.72,0,7793.423333333333
2026-05-09,West,Consumer,Second Class,Electronics,Monitor,6,0.16,31781.12,6665.42,0,5296.8533333333335
2023-09-17,East,Home Office,Second Class,Electronics,Smartphone,5,0.11,18162.91,4462.35,0,3632.582
2026-03-18,South,Corporate,Standard Class,Office Supplies,Printer,7,0.02,4025.43,1202.02,0,575.0614285714286
2026-03-27,South,Corporate,First Class,Furniture,Chair,5,0.1,15462.7,3198.46,0,3092.54
2025-06-22,West,Consumer,Second Class,Furniture,Desk,2,0.07,5155.47,1351.77,0,2577.735
2024-12-29,North,Corporate,First Class,Office Supplies,Pen,8,0.22,6057.04,1213.7,0,757.13
2025-08-02,West,Corporate,Second Class,Furniture,Table,4,0.14,14175.64,2297.04,0,3543.91
2025-01-12,West,Home Office,Same Day,Electronics,Tablet,7,0.25,32208.32,8458.9,0,4601.188571428572
2025-01-21,North,Consumer,First Class,Electronics,Monitor,2,0.22,9611.13,1915.07,0,4805.565
2026-03-31,South,Corporate,Second Class,Furniture,Chair,2,0.12,5635.32,1659.36,0,2817.66
2024-07-04,North,Corporate,Same Day,Office Supplies,Storage Box,6,0.16,3467.28,969.93,0,577.88
2023-11-22,North,Consumer,First Class,Office Supplies,Notebook,4,0.19,2468.4,489.03,0,617.1
2025-05-25,West,Consumer,First Class,Office Supplies,Notebook,1,0.01,562.47,148.1,0,562.47
2023-10-19,South,Consumer,Same Day,Furniture,Table,3,0.04,10429.72,1399.82,0,3476.5733333333333
2026-01-10,West,Home Office,Second Class,Office Supplies,Printer,4,0.12,1836.57,304.35,0,459.1425
2023-05-28,East,Home Office,Second Class,Electronics,Monitor,2,0.11,7270.14,1324.63,0,3635.07
2023-11-10,East,Corporate,First Class,Office Supplies,Storage Box,4,0.25,3121.14,853.94,0,780.285
2024-10-18,East,Home Office,First Class,Furniture,Sofa,1,0.24,2168.67,517.19,0,2168.67
2025-12-25,West,Corporate,Second Class,Office Supplies,Notebook,6,0.05,6146.06,947.87,0,1024.3433333333335
2024-01-27,North,Home Office,Standard Class,Office Supplies,Printer,5,0.2,1847.67,232.82,0,369.534
2025-03-15,East,Corporate,Same Day,Electronics,Laptop,3,0.05,19431.37,5082.71,0,6477.123333333333
2026-05-08,South,Corporate,Same Day,Furniture,Sofa,5,0.19,14997.3,2714.04,0,2999.46
2023-12-11,South,Home Office,Same Day,Electronics,Smartphone,6,0.02,37053.25,7078.04,0,6175.541666666667
2025-07-17,East,Home Office,First Class,Electronics,Monitor,7,0.21,22060.44,6381.04,0,3151.4914285714285
2025-01-24,North,Home Office,First Class,Electronics,Monitor,4,0.16,17535.25,4109.78,0,4383.8125
2024-10-27,West,Consumer,Second Class,Office Supplies,Pen,1,0.24,712.9,124.61,0,712.9
2024-03-26,South,Corporate,Same Day,Electronics,Smartphone,6,0.17,36891.39,9361.75,0,6148.565
2024-01-02,West,Home Office,Standard Class,Furniture,Desk,8,0.15,16989.4,4910.44,0,2123.675
2025-05-16,South,Corporate,Same Day,Office Supplies,Pen,4,0.21,2684.41,370.14,0,671.1025
2024-12-30,North,Corporate,First Class,Office Supplies,Pen,4,0.24,3390.34,985.99,0,847.585
2023-11-01,North,Consumer,First Class,Electronics,Smartphone,4,0.25,24261.31,6348.12,0,6065.3275
2024-09-06,South,Consumer,First Class,Office Supplies,Printer,3,0.2,1003.98,228.18,0,334.66
2025-11-08,East,Consumer,Standard Class,Electronics,Smartphone,1,0.03,6095.34,1124.49,0,6095.34
2026-01-19,North,Consumer,First Class,Office Supplies,Pen,1,0.03,176.96,34.64,0,176.96
2025-10-24,West,Corporate,Standard Class,Electronics,Monitor,8,0.13,70750.46,20530.0,0,8843.8075
2023-09-30,West,Home Office,Standard Class,Office Supplies,Pen,1,0.25,1039.64,283.32,0,1039.64
2024-11-03,West,Consumer,Standard Class,Electronics,Monitor,6,0.15,39482.84,5204.74,0,6580.473333333332
2024-03-25,West,Home Office,First Class,Office Supplies,Pen,8,0.13,3805.66,751.37,0,475.7075
2025-02-19,West,Corporate,Second Class,Electronics,Smartphone,7,0.08,52773.5,10640.71,0,7539.071428571428
2025-06-23,West,Corporate,First Class,Electronics,Tablet,6,0.24,35701.5,8697.88,0,5950.25
2023-05-27,North,Corporate,Standard Class,Electronics,Laptop,6,0.2,33854.8,7453.02,0,5642.466666666667
2024-02-04,North,Corporate,First Class,Office Supplies,Pen,7,0.22,4392.94,1097.32,0,627.5628571428571
2025-11-19,East,Consumer,Second Class,Office Supplies,Pen,3,0.16,1229.22,197.12,0,409.74
2025-09-27,North,Corporate,Second Class,Office Supplies,Pen,7,0.21,4293.73,1268.45,0,613.39
2023-11-13,East,Consumer,Second Class,Office Supplies,Notebook,5,0.18,2242.6,393.84,0,448.52
2023-09-10,South,Home Office,Same Day,Electronics,Smartphone,2,0.04,9767.38,2285.28,0,4883.69
2025-03-14,West,Corporate,Same Day,Office Supplies,Printer,6,0.04,5156.38,908.01,0,859.3966666666666
2023-11-04,North,Consumer,Second Class,Office Supplies,Notebook,1,0.17,526.5,88.97,0,526.5
2024-08-30,West,Corporate,Second Class,Furniture,Table,2,0.09,7696.96,1077.27,0,3848.48
2024-11-09,East,Consumer,Second Class,Office Supplies,Storage Box,7,0.25,2855.55,370.82,0,407.9357142857143
2026-05-19,East,Corporate,First Class,Electronics,Smartphone,2,0.0,13172.24,3351.84,0,6586.12
2025-03-03,East,Consumer,Same Day,Furniture,Desk,1,0.11,2795.14,566.73,0,2795.14
2025-11-22,West,Home Office,Same Day,Furniture,Table,5,0.03,18811.06,2327.95,0,3762.2120000000004
2025-03-26,East,Consumer,Same Day,Office Supplies,Storage Box,2,0.06,1070.59,241.95,0,535.295
2024-09-27,East,Consumer,First Class,Furniture,Sofa,3,0.02,7486.76,1751.76,0,2495.5866666666666
2025-01-27,East,Home Office,Second Class,Electronics,Tablet,4,0.03,15817.6,2626.9,0,3954.4
2025-12-09,South,Home Office,Same Day,Electronics,Laptop,8,0.19,40443.19,10384.92,0,5055.39875
2024-09-30,East,Consumer,Same Day,Office Supplies,Pen,2,0.12,554.26,129.5,0,277.13
2024-06-18,East,Home Office,Standard Class,Office Supplies,Notebook,5,0.12,1671.28,211.87,0,334.256
2025-12-12,North,Home Office,Same Day,Furniture,Chair,8,0.15,24885.3,7260.58,0,3110.6625
2023-08-01,South,Corporate,Same Day,Electronics,Monitor,3,0.24,16969.95,3412.56,0,5656.650000000001
2023-06-13,South,Consumer,Second Class,Furniture,Chair,8,0.25,13570.18,2908.53,0,1696.2725
2025-03-16,East,Corporate,Same Day,Furniture,Sofa,6,0.17,17275.79,2235.93,0,2879.2983333333336
2025-12-01,East,Consumer,Same Day,Furniture,Chair,5,0.06,16566.68,4527.37,0,3313.3360000000002
2024-10-23,East,Consumer,Second Class,Office Supplies,Printer,6,0.08,3478.58,828.22,0,579.7633333333333
2026-04-15,East,Home Office,Same Day,Electronics,Laptop,6,0.2,21817.69,5249.79,0,3636.2816666666663
2024-01-27,West,Home Office,First Class,Office Supplies,Notebook,1,0.09,1079.52,164.57,0,1079.52
2026-01-19,South,Consumer,Second Class,Furniture,Desk,2,0.07,4780.52,1251.84,0,2390.26
2025-05-06,East,Home Office,Second Class,Office Supplies,Notebook,7,0.04,2341.53,357.21,0,334.50428571428574
2023-06-13,West,Consumer,Same Day,Office Supplies,Printer,6,0.17,3424.01,557.28,0,570.6683333333334
2026-03-05,South,Home Office,Second Class,Furniture,Table,5,0.24,7762.41,2027.44,0,1552.482
2023-08-25,West,Corporate,First Class,Electronics,Tablet,7,0.13,53438.37,10439.66,0,7634.052857142858
2026-04-24,East,Consumer,Same Day,Electronics,Smartphone,6,0.14,28211.58,3906.35,0,4701.93
2024-10-28,North,Consumer,First Class,Electronics,Tablet,8,0.23,49083.08,7191.79,0,6135.385
2026-05-09,East,Consumer,Same Day,Electronics,Monitor,1,0.1,5149.01,964.48,0,5149.01
2025-05-13,South,Consumer,First Class,Electronics,Tablet,2,0.21,8529.43,2021.42,0,4264.715
2025-08-15,East,Corporate,Second Class,Electronics,Laptop,8,0.11,43981.22,5319.32,0,5497.6525
2024-08-30,South,Home Office,Same Day,Furniture,Desk,2,0.19,4493.49,731.43,0,2246.745
2023-11-12,West,Consumer,Standard Class,Electronics,Monitor,8,0.15,52966.38,6512.66,0,6620.7975
2026-04-01,East,Corporate,Standard Class,Electronics,Smartphone,6,0.06,32767.88,6389.15,0,5461.3133333333335
2025-06-27,North,Home Office,Standard Class,Electronics,Tablet,7,0.22,22706.1,2902.66,0,3243.7285714285713
2025-09-14,North,Corporate,Standard Class,Furniture,Sofa,6,0.06,19918.26,4746.1,0,3319.7099999999996
2025-05-18,South,Consumer,First Class,Office Supplies,Pen,6,0.2,2530.47,383.41,0,421.74499999999995
2025-08-08,South,Consumer,Standard Class,Furniture,Table,8,0.01,18912.35,2955.74,0,2364.04375
2023-07-15,East,Home Office,Same Day,Electronics,Tablet,8,0.06,31148.13,7961.22,0,3893.51625
2024-08-20,East,Corporate,Standard Class,Furniture,Chair,6,0.11,15867.65,3046.65,0,2644.608333333333
2025-08-02,South,Corporate,Same Day,Furniture,Sofa,6,0.23,17121.0,3654.81,0,2853.5
2024-03-23,North,Corporate,Second Class,Office Supplies,Storage Box,5,0.08,3889.51,522.8,0,777.902
2023-11-28,West,Consumer,Same Day,Furniture,Table,6,0.11,24911.8,6248.54,0,4151.966666666666
2023-11-16,East,Home Office,Standard Class,Office Supplies,Storage Box,2,0.17,1641.49,317.0,0,820.745
2025-08-04,North,Consumer,Same Day,Office Supplies,Printer,1,0.03,827.9,134.52,0,827.9
2026-04-28,North,Home Office,Second Class,Furniture,Table,8,0.24,14665.45,2741.89,0,1833.18125
2025-11-06,East,Corporate,First Class,Office Supplies,Printer,5,0.06,3682.0,517.03,0,736.4
2025-10-08,North,Corporate,First Class,Furniture,Table,8,0.05,39704.26,9137.46,0,4963.0325
2023-07-07,North,Consumer,Standard Class,Furniture,Desk,8,0.04,18940.96,4705.06,0,2367.62
2025-08-03,East,Home Office,Standard Class,Office Supplies,Pen,5,0.22,1705.95,466.14,0,341.19
2024-07-24,East,Home Office,Second Class,Office Supplies,Printer,2,0.25,684.17,179.64,0,342.085
2023-06-28,East,Home Office,First Class,Furniture,Chair,8,0.2,12316.07,2700.87,0,1539.50875
2024-11-15,East,Corporate,Same Day,Electronics,Laptop,7,0.19,51490.38,13809.78,0,7355.768571428571
2024-05-08,West,Corporate,First Class,Furniture,Chair,3,0.22,9766.67,2543.7,0,3255.556666666667
2026-05-07,West,Home Office,Standard Class,Electronics,Smartphone,2,0.13,8740.05,1527.26,0,4370.025
2023-08-24,East,Home Office,First Class,Office Supplies,Printer,2,0.06,1062.31,248.91,0,531.155
2023-12-11,North,Home Office,Second Class,Electronics,Tablet,3,0.04,18442.59,4286.17,0,6147.53
2025-04-15,North,Consumer,Standard Class,Furniture,Chair,5,0.16,11176.28,2884.07,0,2235.2560000000003
2024-07-16,West,Home Office,First Class,Office Supplies,Notebook,5,0.12,2313.91,612.82,0,462.782
2025-10-22,North,Home Office,Standard Class,Furniture,Table,3,0.11,8229.06,1704.77,0,2743.02
2023-12-22,East,Home Office,First Class,Office Supplies,Printer,6,0.24,2274.4,326.46,0,379.06666666666666
2024-04-16,East,Consumer,Same Day,Office Supplies,Notebook,2,0.07,1050.52,172.94,0,525.26
2024-06-30,West,Consumer,Second Class,Furniture,Table,6,0.23,13115.16,3276.21,0,2185.86
2024-06-20,West,Corporate,First Class,Electronics,Monitor,8,0.01,61927.32,17967.71,0,7740.915
2025-07-23,East,Consumer,Standard Class,Electronics,Smartphone,5,0.12,17927.34,4998.52,0,3585.468
2025-05-12,North,Consumer,Same Day,Furniture,Sofa,3,0.22,7890.24,1980.07,0,2630.08
2025-08-01,West,Consumer,Second Class,Furniture,Chair,6,0.14,16578.92,2208.9,0,2763.153333333333
2023-09-02,North,Consumer,Standard Class,Office Supplies,Pen,7,0.09,3819.64,1136.81,0,545.6628571428571
2023-09-24,South,Home Office,Same Day,Furniture,Desk,1,0.01,1984.97,287.16,0,1984.97
2026-04-02,South,Home Office,Second Class,Furniture,Table,6,0.23,9511.61,1686.74,0,1585.2683333333334
2025-08-14,East,Home Office,Same Day,Office Supplies,Pen,5,0.12,2174.11,267.4,0,434.822
2024-06-08,East,Home Office,Standard Class,Electronics,Monitor,8,0.07,25766.34,6132.55,0,3220.7925
2025-12-12,North,Home Office,Same Day,Office Supplies,Printer,3,0.13,2057.99,514.11,0,685.9966666666666
2023-07-02,South,Consumer,Standard Class,Furniture,Desk,4,0.0,9705.82,1712.73,0,2426.455
2025-09-03,West,Home Office,Same Day,Office Supplies,Printer,1,0.18,673.11,143.62,0,673.11
2024-06-03,West,Corporate,Second Class,Office Supplies,Storage Box,8,0.23,4881.21,886.52,0,610.15125
2025-04-16,West,Consumer,Second Class,Office Supplies,Pen,5,0.14,2995.2,480.66,0,599.04
2024-07-04,South,Home Office,Same Day,Furniture,Sofa,6,0.12,11707.14,2585.96,0,1951.1899999999998
2025-02-09,East,Consumer,Same Day,Office Supplies,Pen,7,0.2,2929.42,854.89,0,418.48857142857145
2025-07-08,East,Home Office,Standard Class,Furniture,Chair,6,0.23,8179.87,1947.42,0,1363.3116666666667
2023-05-24,East,Home Office,First Class,Electronics,Smartphone,3,0.03,12234.59,3099.76,0,4078.1966666666667
2025-07-05,South,Consumer,Standard Class,Electronics,Smartphone,7,0.08,27459.95,5630.19,0,3922.85
2024-10-17,South,Corporate,Same Day,Electronics,Laptop,8,0.16,64588.15,16538.7,0,8073.51875
2025-06-12,North,Home Office,Second Class,Furniture,Chair,1,0.23,1725.44,261.42,0,1725.44
2023-08-21,West,Corporate,Second Class,Electronics,Laptop,5,0.22,32635.4,3970.69,0,6527.08
2024-08-02,East,Corporate,Same Day,Electronics,Tablet,3,0.21,16077.22,3283.67,0,5359.073333333333
2026-04-14,South,Home Office,Same Day,Electronics,Tablet,5,0.18,20070.38,2459.33,0,4014.076
2026-04-19,South,Home Office,Same Day,Furniture,Desk,7,0.13,14269.21,1935.09,0,2038.4585714285713
2024-11-04,West,Corporate,Second Class,Electronics,Smartphone,1,0.07,9760.13,1584.98,0,9760.13
2024-06-17,North,Corporate,First Class,Furniture,Sofa,4,0.02,14452.8,2041.9,0,3613.2
2024-12-07,North,Home Office,First Class,Furniture,Sofa,6,0.15,17376.62,2770.58,0,2896.103333333333
2024-08-06,East,Corporate,Same Day,Electronics,Monitor,4,0.19,22421.48,5436.35,0,5605.37
2024-01-26,East,Consumer,Standard Class,Electronics,Monitor,1,0.21,3340.41,943.73,0,3340.41
2026-04-08,South,Corporate,Same Day,Office Supplies,Printer,2,0.17,1433.94,357.12,0,716.97
2024-04-20,North,Corporate,Second Class,Office Supplies,Storage Box,7,0.11,4458.06,581.3,0,636.8657142857144
2025-07-31,West,Corporate,Standard Class,Furniture,Chair,4,0.14,12139.34,1555.68,0,3034.835
2024-09-21,North,Corporate,Standard Class,Electronics,Laptop,5,0.1,32188.67,8318.03,0,6437.7339999999995
2024-05-17,East,Corporate,Same Day,Office Supplies,Storage Box,7,0.09,4276.26,1038.67,0,610.8942857142857
2024-01-20,East,Consumer,Second Class,Office Supplies,Printer,7,0.13,3520.71,883.75,0,502.9585714285714
2024-10-13,East,Corporate,Same Day,Electronics,Laptop,7,0.21,50656.96,8335.71,0,7236.708571428571
2023-12-26,North,Consumer,Same Day,Furniture,Desk,1,0.06,3425.06,452.49,0,3425.06
2025-11-18,South,Home Office,Standard Class,Furniture,Chair,7,0.11,16405.79,3562.63,0,2343.684285714286
2025-05-14,East,Consumer,First Class,Electronics,Smartphone,6,0.06,28227.06,7839.4,0,4704.51
2023-11-09,West,Corporate,First Class,Office Supplies,Printer,1,0.14,1232.41,279.14,0,1232.41
2025-10-26,West,Consumer,First Class,Electronics,Monitor,7,0.2,48683.84,8635.16,0,6954.834285714285
2025-10-25,West,Consumer,Same Day,Electronics,Tablet,4,0.21,29543.18,5144.43,0,7385.795
2026-03-26,West,Corporate,Second Class,Furniture,Chair,7,0.06,27096.6,4243.34,0,3870.942857142857
2026-01-16,North,Home Office,Second Class,Furniture,Sofa,1,0.07,2542.3,613.36,0,2542.3
2026-01-03,South,Corporate,Second Class,Electronics,Smartphone,6,0.08,35430.21,10048.68,0,5905.035
2023-08-23,West,Consumer,Second Class,Electronics,Laptop,7,0.23,33856.65,7427.28,0,4836.664285714286
2025-11-10,East,Corporate,First Class,Furniture,Table,6,0.13,22088.45,4627.75,0,3681.4083333333333
2024-11-02,East,Consumer,First Class,Office Supplies,Storage Box,6,0.1,3342.08,739.45,0,557.0133333333333
2025-08-24,East,Home Office,Same Day,Electronics,Laptop,5,0.04,22561.64,4047.01,0,4512.3279999999995
2024-05-27,East,Corporate,Same Day,Electronics,Monitor,8,0.12,49542.29,12479.65,0,6192.78625
2023-06-30,South,Home Office,Standard Class,Electronics,Monitor,1,0.21,2492.4,332.43,0,2492.4
2024-09-26,West,Consumer,Second Class,Electronics,Laptop,2,0.18,10607.36,1290.34,0,5303.68
2026-05-13,West,Home Office,Same Day,Furniture,Chair,1,0.0,12177.22,810.66,1,12177.22
2023-10-26,North,Home Office,Same Day,Furniture,Sofa,3,0.03,10921.05,1499.86,0,3640.35
2023-07-19,East,Corporate,Same Day,Electronics,Tablet,2,0.09,11042.95,2132.23,0,5521.475
2024-11-17,East,Home Office,Standard Class,Office Supplies,Printer,1,0.02,342.03,64.39,0,342.03
2023-07-24,South,Consumer,Same Day,Electronics,Laptop,7,0.16,30544.47,5486.66,0,4363.495714285715
2025-08-24,South,Consumer,Same Day,Electronics,Laptop,5,0.01,28002.7,3735.07,0,5600.54
2023-07-14,South,Corporate,Standard Class,Office Supplies,Notebook,4,0.15,2022.7,516.61,0,505.675
2024-05-22,East,Consumer,Second Class,Furniture,Chair,7,0.17,13958.52,3033.2,0,1994.0742857142857
2023-07-09,North,Home Office,First Class,Office Supplies,Printer,1,0.02,183.74,29.73,0,183.74
