order_date,region,segment,shipping_mode,category,product_name,quantity,discount,sales,profit,anomaly
2025-07-18,West,Consumer,Standard Class,Furniture,Desk,7,0.15,16164.38,3868.78,0
2024-10-19,West,Consumer,Standard Class,Furniture,Desk,5,0.09,18037.66,2851.73,0
2024-05-28,West,Corporate,Standard Class,Furniture,Sofa,8,0.0,31056.25,6742.17,0
2024-09-14,North,Home Office,Standard Class,Furniture,Desk,1,0.24,1720.8,268.25,0
2024-07-17,South,Corporate,Standard Class,Electronics,Smartphone,4,0.12,19230.5,3194.64,0
2025-06-30,South,Corporate,Standard Class,Office Supplies,Notebook,1,0.23,100.0,22.36,0
2025-04-17,South,Consumer,Second Class,Furniture,Table,2,0.17,4383.38,763.96,0
2023-05-30,East,Home Office,Same Day,Electronics,Laptop,6,0.02,85752.12,6480.75,1
2023-10-19,West,Corporate,Same Day,Furniture,Chair,3,0.11,16222.68,4089.46,0
2024-04-21,West,Corporate,First Class,Furniture,Table,6,0.21,21005.38,5661.61,0
2024-03-17,West,Home Office,Same Day,Furniture,Desk,6,0.01,18284.89,4994.91,0
2023-11-29,East,Corporate,First Class,Electronics,Tablet,5,0.14,36432.14,7759.79,0
2024-06-12,West,Home Office,Second Class,Electronics,Monitor,8,0.16,32495.46,6770.36,0
2024-03-29,South,Corporate,Second Class,Electronics,Tablet,5,0.17,27368.97,5102.22,0
2023-10-26,East,Corporate,Same Day,Furniture,Table,5,0.08,20979.05,3388.05,0
2024-08-23,South,Consumer,Second Class,Furniture,Chair,8,0.07,19022.89,4301.56,0
2024-03-18,North,Consumer,First Class,Office Supplies,Pen,4,0.09,1456.32,253.99,0
2024-06-24,North,Consumer,First Class,Electronics,Tablet,3,0.16,14217.45,3632.6,0
2024-11-19,West,Corporate,Same Day,Electronics,Tablet,6,0.05,69383.71,8967.69,0
2026-03-20,North,Corporate,Same Day,Furniture,Chair,2,0.14,7289.1,1775.34,0
2025-10-20,North,Consumer,Standard Class,Office Supplies,Pen,7,0.15,4281.78,1123.25,0
2023-12-07,West,Corporate,First Class,Office Supplies,Storage Box,7,0.08,6717.51,1557.02,0
2025-11-02,South,Home Office,Second Class,Office Supplies,Notebook,5,0.17,2221.24,329.34,0
2024-03-13,North,Corporate,Same Day,Electronics,Smartphone,8,0.07,63942.33,10337.28,0
2023-07-05,North,Home Office,Second Class,Office Supplies,Storage Box,5,0.2,2210.52,513.97,0
2024-10-10,North,Home Office,Second Class,Electronics,Monitor,3,0.23,14585.5,3920.49,0
2024-01-24,East,Corporate,Standard Class,Electronics,Tablet,8,0.17,38601.45,9494.11,0
2024-06-30,West,Consumer,Standard Class,Office Supplies,Storage Box,7,0.18,2949.07,674.36,0
2026-02-08,East,Home Office,Standard Class,Electronics,Laptop,3,0.12,10372.62,2461.13,0
2026-05-12,West,Consumer,Same Day,Electronics,Monitor,6,0.1,38978.63,6930.03,0
2025-07-06,West,Home Office,Same Day,Electronics,Tablet,5,0.17,22699.27,4360.11,0
2025-08-17,North,Corporate,First Class,Electronics,Monitor,6,0.03,46760.54,12113.72,0
2026-05-09,West,Consumer,Second Class,Electronics,Monitor,6,0.16,31781.12,6665.42,0
2023-09-17,East,Home Office,Second Class,Electronics,Smartphone,5,0.11,18162.91,4462.35,0
2026-03-18,South,Corporate,Standard Class,Office Supplies,Printer,7,0.02,4025.43,1202.02,0
2026-03-27,South,Corporate,First Class,Furniture,Chair,5,0.1,15462.7,3198.46,0
2025-06-22,West,Consumer,Second Class,Furniture,Desk,2,0.07,5155.47,1351.77,0
2024-12-29,North,Corporate,First Class,Office Supplies,Pen,8,0.22,6057.04,1213.7,0
2025-08-02,West,Corporate,Second Class,Furniture,Table,4,0.14,14175.64,2297.04,0
2025-01-12,West,Home Office,Same Day,Electronics,Tablet,7,0.25,32208.32,8458.9,0
2025-01-21,North,Consumer,First Class,Electronics,Monitor,2,0.22,9611.13,1915.07,0
2026-03-31,South,Corporate,Second Class,Furniture,Chair,2,0.12,5635.32,1659.36,0
2024-07-04,North,Corporate,Same Day,Office Supplies,Storage Box,6,0.16,3467.28,969.93,0
2023-11-22,North,Consumer,First Class,Office Supplies,Notebook,4,0.19,2468.4,489.03,0
2025-05-25,West,Consumer,First Class,Office Supplies,Notebook,1,0.01,562.47,148.1,0
2023-10-19,South,Consumer,Same Day,Furniture,Table,3,0.04,10429.72,1399.82,0
2026-01-10,West,Home Office,Second Class,Office Supplies,Printer,4,0.12,1836.57,304.35,0
2023-05-28,East,Home Office,Second Class,Electronics,Monitor,2,0.11,7270.14,1324.63,0
2023-11-10,East,Corporate,First Class,Office Supplies,Storage Box,4,0.25,3121.14,853.94,0
2024-10-18,East,Home Office,First Class,Furniture,Sofa,1,0.24,2168.67,517.19,0
2025-12-25,West,Corporate,Second Class,Office Supplies,Notebook,6,0.05,6146.06,947.87,0
2024-01-27,North,Home Office,Standard Class,Office Supplies,Printer,5,0.2,1847.67,232.82,0
2025-03-15,East,Corporate,Same Day,Electronics,Laptop,3,0.05,19431.37,5082.71,0
2026-05-08,South,Corporate,Same Day,Furniture,Sofa,5,0.19,14997.3,2714.04,0
2023-12-11,South,Home Office,Same Day,Electronics,Smartphone,6,0.02,37053.25,7078.04,0
2025-07-17,East,Home Office,First Class,Electronics,Monitor,7,0.21,22060.44,6381.04,0
2025-01-24,North,Home Office,First Class,Electronics,Monitor,4,0.16,17535.25,4109.78,0
2024-10-27,West,Consumer,Second Class,Office Supplies,Pen,1,0.24,712.9,124.61,0
2024-03-26,South,Corporate,Same Day,Electronics,Smartphone,6,0.17,36891.39,9361.75,0
2024-01-02,West,Home Office,Standard Class,Furniture,Desk,8,0.15,16989.4,4910.44,0
2025-05-16,South,Corporate,Same Day,Office Supplies,Pen,4,0.21,2684.41,370.14,0
2024-12-30,North,Corporate,First Class,Office Supplies,Pen,4,0.24,3390.34,985.99,0
2023-11-01,North,Consumer,First Class,Electronics,Smartphone,4,0.25,24261.31,6348.12,0
2024-09-06,South,Consumer,First Class,Office Supplies,Printer,3,0.2,1003.98,228.18,0
2025-11-08,East,Consumer,Standard Class,Electronics,Smartphone,1,0.03,6095.34,1124.49,0
2026-01-19,North,Consumer,First Class,Office Supplies,Pen,1,0.03,176.96,34.64,0
2025-10-24,West,Corporate,Standard Class,Electronics,Monitor,8,0.13,70750.46,20530.0,0
2023-09-30,West,Home Office,Standard Class,Office Supplies,Pen,1,0.25,1039.64,283.32,0
2024-11-03,West,Consumer,Standard Class,Electronics,Monitor,6,0.15,39482.84,5204.74,0
2024-03-25,West,Home Office,First Class,Office Supplies,Pen,8,0.13,3805.66,751.37,0
2025-02-19,West,Corporate,Second Class,Electronics,Smartphone,7,0.08,52773.5,10640.71,0
2025-06-23,West,Corporate,First Class,Electronics,Tablet,6,0.24,35701.5,8697.88,0
2023-05-27,North,Corporate,Standard Class,Electronics,Laptop,6,0.2,33854.8,7453.02,0
2024-02-04,North,Corporate,First Class,Office Supplies,Pen,7,0.22,4392.94,1097.32,0
2025-11-19,East,Consumer,Second Class,Office Supplies,Pen,3,0.16,1229.22,197.12,0
2025-09-27,North,Corporate,Second Class,Office Supplies,Pen,7,0.21,4293.73,1268.45,0
2023-11-13,East,Consumer,Second Class,Office Supplies,Notebook,5,0.18,2242.6,393.84,0
2023-09-10,South,Home Office,Same Day,Electronics,Smartphone,2,0.04,9767.38,2285.28,0
2025-03-14,West,Corporate,Same Day,Office Supplies,Printer,6,0.04,5156.38,908.01,0
2023-11-04,North,Consumer,Second Class,Office Supplies,Notebook,1,0.17,526.5,88.97,0
2024-08-30,West,Corporate,Second Class,Furniture,Table,2,0.09,7696.96,1077.27,0
2024-11-09,East,Consumer,Second Class,Office Supplies,Storage Box,7,0.25,2855.55,370.82,0
2026-05-19,East,Corporate,First Class,Electronics,Smartphone,2,0.0,13172.24,3351.84,0
2025-03-03,East,Consumer,Same Day,Furniture,Desk,1,0.11,2795.14,566.73,0
2025-11-22,West,Home Office,Same Day,Furniture,Table,5,0.03,18811.06,2327.95,0
2025-03-26,East,Consumer,Same Day,Office Supplies,Storage Box,2,0.06,1070.59,241.95,0
2024-09-27,East,Consumer,First Class,Furniture,Sofa,3,0.02,7486.76,1751.76,0
2025-01-27,East,Home Office,Second Class,Electronics,Tablet,4,0.03,15817.6,2626.9,0
2025-12-09,South,Home Office,Same Day,Electronics,Laptop,8,0.19,40443.19,10384.92,0
2024-09-30,East,Consumer,Same Day,Office Supplies,Pen,2,0.12,554.26,129.5,0
2024-06-18,East,Home Office,Standard Class,Office Supplies,Notebook,5,0.12,1671.28,211.87,0
2025-12-12,North,Home Office,Same Day,Furniture,Chair,8,0.15,24885.3,7260.58,0
2023-08-01,South,Corporate,Same Day,Electronics,Monitor,3,0.24,16969.95,3412.56,0
2023-06-13,South,Consumer,Second Class,Furniture,Chair,8,0.25,13570.18,2908.53,0
2025-03-16,East,Corporate,Same Day,Furniture,Sofa,6,0.17,17275.79,2235.93,0
2025-12-01,East,Consumer,Same Day,Furniture,Chair,5,0.06,16566.68,4527.37,0
2024-10-23,East,Consumer,Second Class,Office Supplies,Printer,6,0.08,3478.58,828.22,0
2026-04-15,East,Home Office,Same Day,Electronics,Laptop,6,0.2,21817.69,5249.79,0
2024-01-27,West,Home Office,First Class,Office Supplies,Notebook,1,0.09,1079.52,164.57,0
2026-01-19,South,Consumer,Second Class,Furniture,Desk,2,0.07,4780.52,1251.84,0
2025-05-06,East,Home Office,Second Class,Office Supplies,Notebook,7,0.04,2341.53,357.21,0
2023-06-13,West,Consumer,Same Day,Office Supplies,Printer,6,0.17,3424.01,557.28,0
2026-03-05,South,Home Office,Second Class,Furniture,Table,5,0.24,7762.41,2027.44,0
2023-08-25,West,Corporate,First Class,Electronics,Tablet,7,0.13,53438.37,10439.66,0
2026-04-24,East,Consumer,Same Day,Electronics,Smartphone,6,0.14,28211.58,3906.35,0
2024-10-28,North,Consumer,First Class,Electronics,Tablet,8,0.23,49083.08,7191.79,0
2026-05-09,East,Consumer,Same Day,Electronics,Monitor,1,0.1,5149.01,964.48,0
2025-05-13,South,Consumer,First Class,Electronics,Tablet,2,0.21,8529.43,2021.42,0
2025-08-15,East,Corporate,Second Class,Electronics,Laptop,8,0.11,43981.22,5319.32,0
2024-08-30,South,Home Office,Same Day,Furniture,Desk,2,0.19,4493.49,731.43,0
2023-11-12,West,Consumer,Standard Class,Electronics,Monitor,8,0.15,52966.38,6512.66,0
2026-04-01,East,Corporate,Standard Class,Electronics,Smartphone,6,0.06,32767.88,6389.15,0
2025-06-27,North,Home Office,Standard Class,Electronics,Tablet,7,0.22,22706.1,2902.66,0
2025-09-14,North,Corporate,Standard Class,Furniture,Sofa,6,0.06,19918.26,4746.1,0
2025-05-18,South,Consumer,First Class,Office Supplies,Pen,6,0.2,2530.47,383.41,0
2025-08-08,South,Consumer,Standard Class,Furniture,Table,8,0.01,18912.35,2955.74,0
2023-07-15,East,Home Office,Same Day,Electronics,Tablet,8,0.06,31148.13,7961.22,0
2024-08-20,East,Corporate,Standard Class,Furniture,Chair,6,0.11,15867.65,3046.65,0
2025-08-02,South,Corporate,Same Day,Furniture,Sofa,6,0.23,17121.0,3654.81,0
2024-03-23,North,Corporate,Second Class,Office Supplies,Storage Box,5,0.08,3889.51,522.8,0
2023-11-28,West,Consumer,Same Day,Furniture,Table,6,0.11,24911.8,6248.54,0
2023-11-16,East,Home Office,Standard Class,Office Supplies,Storage Box,2,0.17,1641.49,317.0,0
2025-08-04,North,Consumer,Same Day,Office Supplies,Printer,1,0.03,827.9,134.52,0
2026-04-28,North,Home Office,Second Class,Furniture,Table,8,0.24,14665.45,2741.89,0
2025-11-06,East,Corporate,First Class,Office Supplies,Printer,5,0.06,3682.0,517.03,0
2025-10-08,North,Corporate,First Class,Furniture,Table,8,0.05,39704.26,9137.46,0
2023-07-07,North,Consumer,Standard Class,Furniture,Desk,8,0.04,18940.96,4705.06,0
2025-08-03,East,Home Office,Standard Class,Office Supplies,Pen,5,0.22,1705.95,466.14,0
2024-07-24,East,Home Office,Second Class,Office Supplies,Printer,2,0.25,684.17,179.64,0
2023-06-28,East,Home Office,First Class,Furniture,Chair,8,0.2,12316.07,2700.87,0
2024-11-15,East,Corporate,Same Day,Electronics,Laptop,7,0.19,51490.38,13809.78,0
2024-05-08,West,Corporate,First Class,Furniture,Chair,3,0.22,9766.67,2543.7,0
2026-05-07,West,Home Office,Standard Class,Electronics,Smartphone,2,0.13,8740.05,1527.26,0
2023-08-24,East,Home Office,First Class,Office Supplies,Printer,2,0.06,1062.31,248.91,0
2023-12-11,North,Home Office,Second Class,Electronics,Tablet,3,0.04,18442.59,4286.17,0
2025-04-15,North,Consumer,Standard Class,Furniture,Chair,5,0.16,11176.28,2884.07,0
2024-07-16,West,Home Office,First Class,Office Supplies,Notebook,5,0.12,2313.91,612.82,0
2025-10-22,North,Home Office,Standard Class,Furniture,Table,3,0.11,8229.06,1704.77,0
2023-12-22,East,Home Office,First Class,Office Supplies,Printer,6,0.24,2274.4,326.46,0
2024-04-16,East,Consumer,Same Day,Office Supplies,Notebook,2,0.07,1050.52,172.94,0
2024-06-30,West,Consumer,Second Class,Furniture,Table,6,0.23,13115.16,3276.21,0
2024-06-20,West,Corporate,First Class,Electronics,Monitor,8,0.01,61927.32,17967.71,0
2025-07-23,East,Consumer,Standard Class,Electronics,Smartphone,5,0.12,17927.34,4998.52,0
2025-05-12,North,Consumer,Same Day,Furniture,Sofa,3,0.22,7890.24,1980.07,0
2025-08-01,West,Consumer,Second Class,Furniture,Chair,6,0.14,16578.92,2208.9,0
2023-09-02,North,Consumer,Standard Class,Office Supplies,Pen,7,0.09,3819.64,1136.81,0
2023-09-24,South,Home Office,Same Day,Furniture,Desk,1,0.01,1984.97,287.16,0
2026-04-02,South,Home Office,Second Class,Furniture,Table,6,0.23,9511.61,1686.74,0
2025-08-14,East,Home Office,Same Day,Office Supplies,Pen,5,0.12,2174.11,267.4,0
2024-06-08,East,Home Office,Standard Class,Electronics,Monitor,8,0.07,25766.34,6132.55,0
2025-12-12,North,Home Office,Same Day,Office Supplies,Printer,3,0.13,2057.99,514.11,0
2023-07-02,South,Consumer,Standard Class,Furniture,Desk,4,0.0,9705.82,1712.73,0
2025-09-03,West,Home Office,Same Day,Office Supplies,Printer,1,0.18,673.11,143.62,0
2024-06-03,West,Corporate,Second Class,Office Supplies,Storage Box,8,0.23,4881.21,886.52,0
2025-04-16,West,Consumer,Second Class,Office Supplies,Pen,5,0.14,2995.2,480.66,0
2024-07-04,South,Home Office,Same Day,Furniture,Sofa,6,0.12,11707.14,2585.96,0
2025-02-09,East,Consumer,Same Day,Office Supplies,Pen,7,0.2,2929.42,854.89,0
2025-07-08,East,Home Office,Standard Class,Furniture,Chair,6,0.23,8179.87,1947.42,0
2023-05-24,East,Home Office,First Class,Electronics,Smartphone,3,0.03,12234.59,3099.76,0
2025-07-05,South,Consumer,Standard Class,Electronics,Smartphone,7,0.08,27459.95,5630.19,0
2024-10-17,South,Corporate,Same Day,Electronics,Laptop,8,0.16,64588.15,16538.7,0
2025-06-12,North,Home Office,Second Class,Furniture,Chair,1,0.23,1725.44,261.42,0
2023-08-21,West,Corporate,Second Class,Electronics,Laptop,5,0.22,32635.4,3970.69,0
2024-08-02,East,Corporate,Same Day,Electronics,Tablet,3,0.21,16077.22,3283.67,0
2026-04-14,South,Home Office,Same Day,Electronics,Tablet,5,0.18,20070.38,2459.33,0
2026-04-19,South,Home Office,Same Day,Furniture,Desk,7,0.13,14269.21,1935.09,0
2024-11-04,West,Corporate,Second Class,Electronics,Smartphone,1,0.07,9760.13,1584.98,0
2024-06-17,North,Corporate,First Class,Furniture,Sofa,4,0.02,14452.8,2041.9,0
2024-12-07,North,Home Office,First Class,Furniture,Sofa,6,0.15,17376.62,2770.58,0
2024-08-06,East,Corporate,Same Day,Electronics,Monitor,4,0.19,22421.48,5436.35,0
2024-01-26,East,Consumer,Standard Class,Electronics,Monitor,1,0.21,3340.41,943.73,0
2026-04-08,South,Corporate,Same Day,Office Supplies,Printer,2,0.17,1433.94,357.12,0
2024-04-20,North,Corporate,Second Class,Office Supplies,Storage Box,7,0.11,4458.06,581.3,0
2025-07-31,West,Corporate,Standard Class,Furniture,Chair,4,0.14,12139.34,1555.68,0
2024-09-21,North,Corporate,Standard Class,Electronics,Laptop,5,0.1,32188.67,8318.03,0
2024-05-17,East,Corporate,Same Day,Office Supplies,Storage Box,7,0.09,4276.26,1038.67,0
2024-01-20,East,Consumer,Second Class,Office Supplies,Printer,7,0.13,3520.71,883.75,0
2024-10-13,East,Corporate,Same Day,Electronics,Laptop,7,0.21,50656.96,8335.71,0
2023-12-26,North,Consumer,Same Day,Furniture,Desk,1,0.06,3425.06,452.49,0
2025-11-18,South,Home Office,Standard Class,Furniture,Chair,7,0.11,16405.79,3562.63,0
2025-05-14,East,Consumer,First Class,Electronics,Smartphone,6,0.06,28227.06,7839.4,0
2023-11-09,West,Corporate,First Class,Office Supplies,Printer,1,0.14,1232.41,279.14,0
2025-10-26,West,Consumer,First Class,Electronics,Monitor,7,0.2,48683.84,8635.16,0
2025-10-25,West,Consumer,Same Day,Electronics,Tablet,4,0.21,29543.18,5144.43,0
2026-03-26,West,Corporate,Second Class,Furniture,Chair,7,0.06,27096.6,4243.34,0
2026-01-16,North,Home Office,Second Class,Furniture,Sofa,1,0.07,2542.3,613.36,0
2026-01-03,South,Corporate,Second Class,Electronics,Smartphone,6,0.08,35430.21,10048.68,0
2023-08-23,West,Consumer,Second Class,Electronics,Laptop,7,0.23,33856.65,7427.28,0
2025-11-10,East,Corporate,First Class,Furniture,Table,6,0.13,22088.45,4627.75,0
2024-11-02,East,Consumer,First Class,Office Supplies,Storage Box,6,0.1,3342.08,739.45,0
2025-08-24,East,Home Office,Same Day,Electronics,Laptop,5,0.04,22561.64,4047.01,0
2024-05-27,East,Corporate,Same Day,Electronics,Monitor,8,0.12,49542.29,12479.65,0
2023-06-30,South,Home Office,Standard Class,Electronics,Monitor,1,0.21,2492.4,332.43,0
2024-09-26,West,Consumer,Second Class,Electronics,Laptop,2,0.18,10607.36,1290.34,0
2026-05-13,West,Home Office,Same Day,Furniture,Chair,1,0.0,12177.22,810.66,1
2023-10-26,North,Home Office,Same Day,Furniture,Sofa,3,0.03,10921.05,1499.86,0
2023-07-19,East,Corporate,Same Day,Electronics,Tablet,2,0.09,11042.95,2132.23,0
2024-11-17,East,Home Office,Standard Class,Office Supplies,Printer,1,0.02,342.03,64.39,0
2023-07-24,South,Consumer,Same Day,Electronics,Laptop,7,0.16,30544.47,5486.66,0
2025-08-24,South,Consumer,Same Day,Electronics,Laptop,5,0.01,28002.7,3735.07,0
2023-07-14,South,Corporate,Standard Class,Office Supplies,Notebook,4,0.15,2022.7,516.61,0
2024-05-22,East,Consumer,Second Class,Furniture,Chair,7,0.17,13958.52,3033.2,0
2023-07-09,North,Home Office,First Class,Office Supplies,Printer,1,0.02,183.74,29.73,0
2025-12-26,East,Consumer,First Class,Office Supplies,Storage Box,8,0.12,4594.75,845.65,0
2024-12-02,West,Consumer,First Class,Furniture,Desk,4,0.18,13354.66,1799.77,0
2023-11-18,West,Corporate,First Class,Office Supplies,Printer,2,0.02,1918.62,555.89,0
2025-09-23,South,Consumer,Second Class,Furniture,Chair,7,0.11,15460.29,3398.99,0
2024-04-15,East,Home Office,Standard Class,Electronics,Laptop,6,0.22,17526.67,2142.13,0
2023-08-30,South,Home Office,Same Day,Electronics,Smartphone,3,0.03,14588.67,2541.4,0
2026-04-08,West,Corporate,Same Day,Electronics,Smartphone,5,0.12,40754.96,5454.88,0
2024-10-25,South,Corporate,Standard Class,Electronics,Monitor,3,0.08,22023.89,6404.29,0
2024-09-12,East,Corporate,First Class,Office Supplies,Storage Box,7,0.2,3708.34,1018.72,0
2024-09-04,East,Home Office,Second Class,Electronics,Tablet,8,0.08,29991.98,8806.35,0
2024-05-09,South,Corporate,Same Day,Furniture,Table,5,0.2,14389.24,2744.44,0
2025-06-30,South,Home Office,Standard Class,Office Supplies,Printer,8,0.24,2558.27,403.53,0
2026-02-25,West,Home Office,Same Day,Office Supplies,Notebook,3,0.16,1545.31,252.76,0
2024-08-26,West,Consumer,Same Day,Office Supplies,Storage Box,8,0.15,4601.55,994.79,0
2025-10-23,North,Corporate,Standard Class,Office Supplies,Storage Box,2,0.19,1644.42,391.98,0
2023-05-30,West,Corporate,Same Day,Office Supplies,Notebook,2,0.0,1931.72,321.77,0
2023-09-18,West,Corporate,Same Day,Office Supplies,Printer,8,0.19,5885.21,1329.74,0
2024-09-24,West,Consumer,First Class,Furniture,Chair,7,0.23,18131.34,2455.96,0
2023-09-25,East,Corporate,First Class,Office Supplies,Printer,8,0.2,4077.69,871.81,0
2025-01-06,West,Corporate,Standard Class,Electronics,Monitor,5,0.01,38644.06,9581.42,0
2023-07-02,South,Home Office,Second Class,Furniture,Chair,3,0.14,5120.55,919.54,0
2025-01-24,West,Home Office,Second Class,Furniture,Desk,3,0.16,7223.11,1428.62,0
2026-03-30,West,Home Office,Same Day,Office Supplies,Printer,7,0.0,3912.66,620.79,0
2024-07-25,North,Home Office,Second Class,Office Supplies,Notebook,6,0.08,3078.58,622.98,0
2024-10-23,West,Home Office,Same Day,Furniture,Sofa,2,0.09,6654.33,1811.26,0
2025-02-10,North,Home Office,Second Class,Office Supplies,Pen,6,0.03,2811.36,491.9,0
2024-01-25,West,Corporate,Second Class,Office Supplies,Printer,7,0.11,5278.87,1095.9,0
2024-03-21,South,Corporate,First Class,Office Supplies,Printer,3,0.05,2055.36,558.15,0
2024-11-10,West,Consumer,Second Class,Furniture,Chair,7,0.24,21598.59,4556.85,0
2026-03-06,West,Home Office,Same Day,Office Supplies,Storage Box,8,0.04,4637.72,1028.52,0
2025-12-02,North,Corporate,Second Class,Electronics,Tablet,5,0.04,46698.9,9448.02,0
2023-09-04,North,Corporate,First Class,Furniture,Chair,1,0.19,3066.43,611.59,0
2024-05-07,South,Corporate,Standard Class,Furniture,Chair,8,0.07,23225.88,6391.67,0
2026-02-18,South,Home Office,First Class,Electronics,Smartphone,7,0.04,30494.94,4423.67,0
2024-02-02,East,Home Office,First Class,Electronics,Laptop,3,0.08,11615.97,2866.0,0
